DB,SITEID,DATE,LAT,LON,STATE,DUPL,SAMPLEID,GRAINSIZE,DEPTH,Al,As,Ba,Bi,Ca,CdICPMS,CdAR,Ce,Co,Cr,Cs,CuICPMS,CuAR,F,Fe,Ga,Ge,Hg,K,La,Li,Mg,Mn,MoICPMS,MoAR,Na,Nb,NiCPMS,NiAR,P,PbICPMS,PbAR,Pr,Rb,SbICPMS,SbAR,Sc,Se,Si,Sm,SnICPMS,SnAR,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,U,V,W,Y,Yb,ZnICPMS,ZnAR,ZrICPMS,ZrAR,FIELDpH,pH15,EC15,SAND,SILT,CLAY,LOI
geochem,2007190024,13.06.2008,-16.8116,122.8996,WA,,2007190024002 Fine,lt95,BOS,57810,4,142.3,0.27,636,0.16,0.01,54.83,6.5,66.6,4.88,7.3,2.38,200,20213,13.1,0.59,0.03,3188,28.67,7.7,1743,54,0.9,0.19,1387,17.9,41.8,4.6,118,12.61,6.45,5.81,38.3,0.4,0.02,14.2,0.06,371396,4.17,2.8,0.95,37.4,1.53,0.883,0.02,18.03,6353,0.11,0.1,3.85,52.7,2.1,39.5,5.054,10.4,4.3,1656.8,7.5,7.5,7,78.85,88.02,8.28,3.7,4.5
geochem,2007190025,19.10.2007,-22.3121,149.4741,QLD,,2007190025002 Fine,lt96,BOS,58948,8.2,545.7,0.54,9162,0.1,0.02,38.3,8.7,23.7,5.08,14.4,14.3,180,20604,10.9,0.4,0.03,9820,20.05,6.6,3721,620,1,0.16,16633,6.6,22.3,9.3,127,19.12,12.9,4.51,62.2,0.4,0.17,10,0.06,346745,3.764,1.3,0.28,236.9,0.51,0.628,0.05,7.96,4333,0.11,0.1,2.57,66.3,1.6,23.6,2.449,29.2,32.7,373.3,4.9,10,9.03,563,21.31,53.02,25.67,5.4
geochem,2007190028,22.01.2008,-31.8126,123.8542,WA,,2007190028002 Fine,lt97,BOS,48039,8.2,208.3,0.02,166089,0.11,0.12,44,12.7,128.7,2.27,37.1,30.6,200,27046,12.7,0.3,0.04,9339,23.3,17.9,16341,325,0.8,0.52,3717,6.7,43.2,35.8,209,11.98,8.71,5.26,44.9,0.4,0.17,9.6,0.35,135167,4.14,1.1,0.53,378.4,0.23,0.58,0.05,9.73,3242,0.18,0.2,1.99,103.9,0.1,20.1,1.74,41.8,50.8,213.5,3.8,8.5,9.21,768,28.14,33.26,38.6,29.7
geochem,2007190029,29.01.2008,-31.1569,125.6804,WA,,2007190029002 Fine,lt98,BOS,47452,10.9,213.5,0.68,160729,0.14,0.08,36.42,10.7,93.6,2.3,29.4,24.2,200,26095,12.1,0.35,0.04,9164,20.92,15.7,8979,248,0.9,0.16,1172,7.7,36.4,23.9,227,12.32,9.7,4.25,42.2,0.4,0.12,8.7,0.2,157757,3.022,1.5,0.57,139.5,0.63,0.527,0.07,9.6,3290,0.18,0.1,1.52,92.1,1.2,18.2,1.802,43.7,33.4,268.4,2.6,9,8.545,95,25.94,41.14,32.92,27.6
geochem,2007190031,15.04.2008,-30.1907,147.7138,NSW,,2007190031002 Fine,lt99,BOS,46525,3,310.7,0.2,5139,0.46,0.05,52.3,15.2,78.8,2.73,18.9,12.6,200,22912,9.1,0.38,0.02,11074,23.85,7.1,3250,852,0.7,0.18,7857,15.9,20.2,17.9,358,12.83,6.8,5.62,54.1,0.4,0.04,9.1,0.03,371251,4.964,1.9,0.53,118.5,1.21,0.786,0.03,10.08,6269,0.12,0.2,2.77,61.7,1.4,32.7,3.516,39.8,32.5,884.7,9.5,8,7.27,20.125,49.97,33.48,16.56,3.5
geochem,2007190032,05.10.2007,-38.0882,144.2791,VIC,2007190632,2007190032002 Fine,lt100,BOS,74340,7.1,496,0.32,6497,0.34,0.03,88.46,18.4,122.2,7.22,19.1,16.6,420,36194,17.5,0.6,0.05,14759,45.78,21.3,6090,519,0.9,0.38,5935,20.4,40.8,38.7,415,19.47,16.6,10.33,102.1,0.4,0.32,12.3,0.23,303707,8.567,3.2,0.96,136.5,1.7,1.202,0.1,14.96,8306,0.07,0.2,4.37,107.3,2.6,41,3.669,66.7,47.7,421,6.3,5.5,6.6,38.2,36.28,52.43,11.29,9.6
geochem,2007190033,02.04.2009,-24.997,131.4607,NT,,2007190033002 Fine,lt101,BOS,4054,0.8,57.2,0.08,195113,0.11,0.03,5.07,1,11.5,0.23,2.7,4.59,240,2077,0.9,0.04,0.01,1959,2.27,2.9,1893,39,0.3,0.08,2560,1.5,8.2,3.6,109,2.11,1.14,0.53,9.2,0.4,0.02,1.9,0.08,31895,0.04,0.2,0.19,3838.3,0.06,0.043,0.06,1.35,485,0.02,0.1,1.29,8.6,0.1,2.8,0.337,5.5,0.7,145.5,1,9,8.09,5480,88.65,9.2,2.15,49.9
geochem,2007190034,10.05.2008,-24.1443,118.4823,WA,,2007190034002 Fine,lt102,BOS,66342,6.2,475.4,0.36,12379,0.32,0.11,54.67,20.8,170.4,6.71,46.8,41.6,460,65366,16.1,0.86,0.03,14759,26.99,12.6,10607,1247,0.9,0.47,1751,13.6,49.9,41.9,336,17.25,12.2,5.8,97.6,1.3,0.51,15.8,,289727,4.498,2.1,1.27,51.2,1.12,0.701,0.05,14.23,7497,0.14,0.1,2.68,161.3,1.5,26.5,2.702,71.8,60.5,352.8,4.7,7,7.765,18.23,91.18,5.88,2.95,9.1
geochem,2007190035,07.08.2007,-20.402,147.3506,QLD,2007190876,2007190035002 Fine,lt103,BOS,89436,7.3,409.5,0.57,5539,0.16,0.01,85.53,16.1,66.7,6.65,22.9,19,340,39327,20.2,0.68,0.01,18362,44.3,11.8,4661,488,0.7,0.33,8584,17.8,24.7,17.9,406,24.98,19.3,9.8,130.8,0.4,0.32,16.5,0.1,296949,8.243,7.7,1.59,108.9,1.56,1.271,0.02,23.02,5795,0.22,0.2,4.69,104.1,2.5,49.7,5.192,64.2,41.1,675,6.9,5,6.455,9.485,52.67,35.9,11.43,7.8
geochem,2007190036,31.05.2008,-26.3152,143.1686,QLD,,2007190036002 Fine,lt104,BOS,89251,2.6,296.7,0.3,4881,0.12,0.06,73.24,20.9,76.7,4.08,30.2,26.8,280,46839,22.2,0.6,0.02,10708,38.26,12.8,5150,658,0.5,0.13,2181,11.8,22.3,24.3,401,18.39,11.2,8.63,60.9,0.4,0.08,15.7,0.06,265474,7.04,1.9,1.31,202.3,0.82,1.06,0.02,10.91,6952,0.22,0.3,2.11,138.8,2,37.1,3.36,81.7,65.1,451.7,15.6,7,7.7,68.3,41.72,39.05,19.23,15.1
geochem,2007190038,07.10.2007,-19.8299,135.394,NT,,2007190038002 Fine,lt105,BOS,100879,6,234.3,0.44,872,0.12,0.01,69.36,10.2,86.6,4.74,17.3,11.8,280,44328,22.9,0.76,0.02,8027,33.44,9.5,1393,178,0.9,0.39,534,13.9,22.4,8.5,179,21.77,12.5,6.52,73.1,0.4,0.19,17.5,0.22,299505,4.923,3.7,1.66,57.6,1.24,0.754,0.02,14.14,5783,0.17,0.1,3.22,147,2.2,29,3.451,22.5,3.5,870.8,12,5.5,5.405,7.235,77.09,17.62,5.3,8
geochem,2007190039,16.11.2007,-27.533,115.2171,WA,2007190984,2007190039002 Fine,lt106,BOS,109359,7,314,0.42,3688,0.1,0.09,90.92,17.7,135,5.38,43.2,33.6,460,58106,27.9,0.75,0.01,17341,47.87,11,9334,682,2,1.13,1773,16.2,46.4,30.8,371,30.51,20,9.03,119.9,0.4,0.18,18.6,0.09,246605,6.454,3.1,1.84,77.7,1.3,0.892,0.13,26.38,5322,0.34,0.2,5.44,142.4,2.2,29.8,2.778,82,49.4,314,11.5,8.5,7.415,56.1,55.37,31.93,12.69,12.7
geochem,2007190041,01.10.2007,-20.6387,142.6312,QLD,,2007190041002 Fine,lt107,BOS,68809,5,409.4,0.24,6540,0.29,0.2,62.76,15,80.1,3.94,21.9,18.9,360,32676,15.5,0.62,0.01,14884,30.43,11.6,5680,558,1.8,1.12,6388,13.1,30.7,23.6,633,17.8,12.2,7.03,76.1,0.4,0.23,13.4,0.12,324955,6.179,1.8,0.8,149.9,0.98,0.901,0.05,11.32,5562,0.17,0.1,2.77,112.9,1.7,32.6,2.972,77.4,49.6,411.1,2.9,8,6.57,34.8,44.45,41.16,14.39,7
geochem,2007190042,03.03.2008,-38.0123,143.6445,VIC,,2007190042002 Fine,lt108,BOS,44440,7.2,270.8,0.25,4524,0.14,0.01,78.9,11.2,85.8,4.33,12.1,8.57,280,22591,10.9,0.55,0.03,8782,40.08,8.2,3708,256,0.7,0.28,5676,20.2,25.3,16.5,497,14.02,10.6,8.69,69.2,0.4,0.12,12.3,0.29,362590,7.045,2.6,0.48,98.1,1.56,1.119,0.02,13.08,7114,0.05,0.1,3.62,76.1,2.5,43.7,4.003,24.4,11.7,771.7,2,5.5,5.24,158.55,72.94,20.79,6.27,6.2
geochem,2007190043,24.01.2008,-31.6369,124.9322,WA,,2007190043002 Fine,lt109,BOS,43133,3.5,228.7,0.33,133256,0.14,0.1,38.62,9.4,111.7,2.05,27.9,23.6,260,24185,10,0.37,0.03,11024,18.66,9.9,10173,310,0.7,0.23,2426,8.6,37.5,22.9,336,11.56,7.46,4.07,44.9,0.4,0.09,11.1,0.23,206609,3.395,1.1,0.65,377.7,0.67,0.469,0.05,9.92,4219,0.16,0.1,1.28,56.5,0.9,18.9,1.823,38,21.9,422.4,1.6,9,8.31,103.35,50.71,28.28,21.01,21.2
