"SITEID","TARGSITEID","SAMPLEID","HgCOMP"
2007190264,"TS0977",2007190264001,9.9223
2007190264,"TS0977",2007190264002,9.475205618
2007190265,"TS0757",2007190265001,11.0835
2007190265,"TS0757",2007190265002,7.9788
2007190266,"TS0069",2007190266001,6.6157
2007190267,"TS0283",2007190267001,26.6498
2007190267,"TS0283",2007190267002,14.3759
2007190268,"TS1303",2007190268001,17.01155
2007190269,"TS0805",2007190269001,28.9029
2007190269,"TS0805",2007190269002,21.8112
2007190271,"TS1178",2007190271001,12.0349
2007190271,"TS1178",2007190271002,5.0186
2007190272,"TS0157",2007190272001,14.45165
2007190272,"TS0157",2007190272002,3.5613
2007190273,"TS1076",2007190273001,11.3312
2007190275,"TS0538",2007190275002,15.3052
2007190276,"TS1185",2007190276001,15.4145
2007190276,"TS1185",2007190276002,6.99345
2007190278,"TS1187",2007190278001,18.475
2007190278,"TS1187",2007190278002,13.8337
2007190279,"TS1299",2007190279001,16.1899
2007190279,"TS1299",2007190279002,16.9852
2007190281,"TS0368",2007190281001,11.76445
2007190282,"TS0373",2007190282001,18.9878
2007190282,"TS0373",2007190282002,17.9292
2007190283,"TS0827",2007190283001,30.4854
2007190283,"TS0827",2007190283002,38.228
2007190286,"TS1219",2007190286001,288.8277
2007190286,"TS1219",2007190286002,71.7139
2007190287,"TS0468",2007190287001,8.5721
2007190287,"TS0468",2007190287002,8.0107
2007190288,"TS0685",2007190288001,12.7224
2007190288,"TS0685",2007190288002,7.679
2007190289,"TS0586",2007190289001,13.4506
2007190290,"TS0725",2007190290001,10.3077
2007190290,"TS0725",2007190290002,5.5816
2007190291,"TS0664",2007190291001,5.7399
2007190291,"TS0664",2007190291002,5.3874
2007190292,"TS0407",2007190292002,44.91
2007190294,"TS0108",2007190294001,16.0335
2007190294,"TS0108",2007190294002,7.2106
2007190296,"TS0773",2007190296001,14.1746
2007190298,"TS1077",2007190298001,9.12
2007190301,"TS0675",2007190301001,9.4737
2007190301,"TS0675",2007190301002,6.9431
2007190302,"TS0618",2007190302001,10.34
2007190302,"TS0618",2007190302002,11.6545
2007190303,"TS1039",2007190303001,21.3172
2007190303,"TS1039",2007190303002,15.22755
2007190304,"TS0507",2007190304001,18.3501
2007190305,"TS0295",2007190305001,20.5457
2007190305,"TS0295",2007190305002,16.7338
2007190307,"TS0891",2007190307001,20.6038
2007190307,"TS0891",2007190307002,14.4886
2007190308,"TS0752",2007190308001,26.392
2007190308,"TS0752",2007190308002,19.4545
2007190309,"TS0350",2007190309001,12.9217
2007190309,"TS0350",2007190309002,10.9715
2007190310,"TS0269",2007190310001,8.7157
2007190310,"TS0269",2007190310002,9.3365
2007190311,"TS0542",2007190311001,22.66755
2007190312,"TS1088",2007190312001,15.3704
2007190313,"TS0661",2007190313001,14.4132
2007190315,"TS0275",2007190315001,11.0295
2007190315,"TS0275",2007190315002,12.291
2007190316,"TS0444",2007190316001,18.1171
2007190317,"TS0221",2007190317001,6.3463
2007190317,"TS0221",2007190317002,4.816
2007190318,"TS0882",2007190318001,14.2891
2007190318,"TS0882",2007190318002,13.6599
2007190319,"TS1384",2007190319001,26.6875
2007190319,"TS1384",2007190319002,28.1946
2007190322,"TS0908",2007190322001,10.4141
2007190322,"TS0908",2007190322002,9.3253
2007190323,"TS0651",2007190323001,22.8256
2007190323,"TS0651",2007190323002,17.9997
2007190324,"TS0585",2007190324001,37.9091
2007190324,"TS0585",2007190324002,39.0399
2007190326,"TS0167",2007190326001,10.2576
2007190326,"TS0167",2007190326002,5.6981
2007190327,"TS0473",2007190327001,16.2782
2007190327,"TS0473",2007190327002,12.7979
2007190328,"TS0244",2007190328001,11.6253
2007190328,"TS0244",2007190328002,10.8948
2007190331,"TS0154",2007190331001,13.9639
2007190331,"TS0154",2007190331002,13.2556
2007190332,"TS0278",2007190332001,13.4195
2007190332,"TS0278",2007190332002,13.8571
2007190333,"TS0658",2007190333001,14.1749
2007190333,"TS0658",2007190333002,11.79765
2007190334,"TS1208",2007190334001,12.9325
2007190334,"TS1208",2007190334002,7.8653
2007190335,"TS1251",2007190335001,27.2667
2007190335,"TS1251",2007190335002,27.501
2007190336,"TS0346",2007190336001,30.3848
2007190336,"TS0346",2007190336002,39.5576
2007190337,"TS0746",2007190337002,3.7404
2007190338,"TS0184",2007190338002,5.0399
2007190339,"TS0329",2007190339001,9.35385
2007190339,"TS0329",2007190339002,11.6589
2007190342,"TS0404",2007190342001,34.6762
