SITEID,SAMPLEID,HgCOMP
2007190337,2007190337002,3.7404
2007190338,2007190338002,5.0399
2007190339,2007190339001,9.35385
2007190339,2007190339002,11.6589
2007190342,2007190342001,34.6762
2007190989,2007190989001,55.8852
2007190342,2007190342002,14.8893
2007190989,2007190989002,6.7415
2007190343,2007190343001,26.7956
2007190343,2007190343002,14.8764
2007190344,2007190344001,7.5197
2007190344,2007190344002,6.7005
2007190345,2007190345001,9.4236
2007190345,2007190345002,14.5331
2007190346,2007190346001,16.5433
2007190347,2007190347001,8.237
2007190347,2007190347002,6.8944
2007190348,2007190348001,8.3984
2007190348,2007190348002,8.8244
2007190349,2007190349001,20.5702
2007191436,2007191436001,22.3948
2007190349,2007190349002,23.3142
2007191436,2007191436002,23.8824
2007190350,2007190350001,24.79
2007190352,2007190352001,99.3326
2007190352,2007190352002,57.32
2007190354,2007190354001,4.5182
2007190354,2007190354002,5.4546
2007190355,2007190355001,10.6477
2007191257,2007191257001,12.9229
2007190355,2007190355002,8.8142
2007191257,2007191257002,9.9976
2007190357,2007190357001,4.6843
2007190856,2007190856001,5.478
2007190357,2007190357002,6.23805
2007190856,2007190856002,4.2966
2007190358,2007190358001,32.4527
2007190358,2007190358002,26.4884
2007190359,2007190359001,10.6419
2007190359,2007190359002,8.4301
2007190361,2007190361001,23.4593
2007191094,2007191094001,32.499
2007190361,2007190361002,13.268
2007191094,2007191094002,16.2699
2007190363,2007190363001,10.4132
2007190363,2007190363002,4.4038
2007190364,2007190364001,18.4303
2007190364,2007190364002,9.0914
2007190366,2007190366001,99.37455
2007190366,2007190366002,102.29905
2007190367,2007190367001,10.2801
2007190367,2007190367002,8.7507
2007190368,2007190368001,22.6916
2007190368,2007190368002,136.46475
2007190369,2007190369001,15.8301
2007190369,2007190369002,14.8583
2007190370,2007190370001,10.6308
2007190370,2007190370002,8.1636
2007190372,2007190372001,12.8511
2007190372,2007190372002,6.8862
2007190373,2007190373001,7.3419
2007190373,2007190373002,11.0736
2007190374,2007190374001,11.0106
2007190374,2007190374002,4.30125
2007190375,2007190375001,16.7983
2007190375,2007190375002,20.0353
2007190377,2007190377001,5.5872
2007190377,2007190377002,5.7209
2007190378,2007190378001,11.39785
2007190378,2007190378002,18.6956
2007190379,2007190379001,26.1286
2007190379,2007190379002,21.388
2007190381,2007190381001,63.3456
2007190381,2007190381002,57.37585
2007190382,2007190382001,3.1708
2007190382,2007190382002,4.17
2007190383,2007190383001,13.2075
2007191416,2007191416001,18.66786667
2007190383,2007190383002,13.7049
2007191416,2007191416002,31.5651
2007190384,2007190384001,16.1494
2007190384,2007190384002,22.623
2007190385,2007190385001,10.0383
2007190385,2007190385002,10.2467
2007190386,2007190386001,28.00455
2007190386,2007190386002,13.4804
2007190390,2007190390001,13.4176
2007190390,2007190390002,14.7997
2007190391,2007190391001,4.321
2007190391,2007190391002,3.9879
2007190392,2007190392001,11.0671
2007190392,2007190392002,9.844
2007190393,2007190393001,33.1509
2007190393,2007190393002,9.9972
2007190394,2007190394001,26.5738
2007190394,2007190394002,27.8813
2007190395,2007190395001,33.0809
2007190395,2007190395002,44.4285
2007190396,2007190396001,14.734
2007190396,2007190396002,8.9486
2007190398,2007190398001,21.0934
2007190398,2007190398002,12.3916
2007190399,2007190399001,10.79475
2007190399,2007190399002,9.02
2007190401,2007190401001,18.7869
2007190401,2007190401002,14.0599
2007190402,2007190402001,14.1083
2007190402,2007190402002,13.737
2007190403,2007190403001,25.1738
2007190403,2007190403002,9.6672
2007190404,2007190404001,9.9829
2007190407,2007190407001,4.902
2007190407,2007190407002,3.4637
2007190408,2007190408001,26.2013
2007190408,2007190408002,15.34435
2007190410,2007190410001,58.8071
2007190410,2007190410002,31.2599
2007190411,2007190411001,12.5851
2007190411,2007190411002,15.8995
2007190412,2007190412001,34.67515
2007190412,2007190412002,18.7872
2007190413,2007190413001,10.3347
2007190413,2007190413002,6.1627
2007190414,2007190414001,14.2314
2007191386,2007191386001,21.5401
2007190414,2007190414002,12.33515
2007191386,2007191386002,13.9961
2007190418,2007190418001,6.3908
2007190418,2007190418002,4.1361
2007190419,2007190419001,10.9156
2007190974,2007190974001,21.6061
2007190419,2007190419002,7.8715
2007190974,2007190974002,10.1801
2007190421,2007190421001,31.0578
2007190421,2007190421002,11.2711
2007190422,2007190422001,12.3967
2007190422,2007190422002,14.5848
2007190423,2007190423001,10.4991
2007190423,2007190423002,5.5348
2007190424,2007190424001,10.3436
2007190424,2007190424002,6.5373
2007190425,2007190425001,25.6138
2007190768,2007190768001,22.35
2007190425,2007190425002,4.81335
2007190768,2007190768002,11.2177
2007190426,2007190426001,12.4689
2007190426,2007190426002,11.2785
2007190427,2007190427001,37.4979
2007190428,2007190428001,22.9669
2007190428,2007190428002,10.85065
2007190429,2007190429001,49.5939
2007190429,2007190429002,51.9643
2007190430,2007190430001,11.091
2007190430,2007190430002,11.1651
2007190431,2007190431001,10.72105
2007190431,2007190431002,4.9366
2007190432,2007190432001,34.7152
2007190432,2007190432002,26.4061
2007190433,2007190433001,24.7782
2007190433,2007190433002,17.35135
2007190434,2007190434001,52.139
2007190434,2007190434002,38.8055
2007190435,2007190435001,24.5422
2007190435,2007190435002,19.1048
2007190436,2007190436001,10.71375
2007190436,2007190436002,25.4699
2007190437,2007190437001,7.7958
2007190437,2007190437002,16.0647
2007190438,2007190438001,29.4939
2007190438,2007190438002,16.9916
2007190439,2007190439001,20.7236
2007190439,2007190439002,7.13955
2007190441,2007190441001,10.6704
2007190441,2007190441002,7.0363
2007190442,2007190442001,10.4107
2007190442,2007190442002,4.0449
2007190444,2007190444001,20.62225
2007190444,2007190444002,20.7798
2007190445,2007190445001,11.87
2007190445,2007190445002,9.6813
2007190446,2007190446001,28.1117
2007190446,2007190446002,13.4156
2007190447,2007190447001,8.2868
2007190447,2007190447002,10.0242
2007190448,2007190448001,7.435
2007190448,2007190448002,5.66945
2007190450,2007190450001,44.9907
2007190450,2007190450002,25.1159
2007190451,2007190451001,6.8992
2007190451,2007190451002,8.1373
2007190452,2007190452001,23.309
2007190452,2007190452002,24.1805
2007190453,2007190453001,18.7997
2007190453,2007190453002,12.5635
2007190454,2007190454001,25.8826
2007190454,2007190454002,26.1424
2007190455,2007190455001,8.7746
2007190455,2007190455002,9.1196
2007190456,2007190456001,24.65405
2007190456,2007190456002,13.982
2007190457,2007190457001,17.3607
2007191004,2007191004001,15.8223
2007190457,2007190457002,4.6705
2007191004,2007191004002,3.8645
2007190458,2007190458001,12.9661
2007190774,2007190774001,9.992
2007190458,2007190458002,9.4899
2007190774,2007190774002,6.6932
2007190459,2007190459001,13.028
2007190459,2007190459002,38.0485
2007190461,2007190461001,25.2588
